# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Role::Tiny;
0.000018,2,0.000009,use strict;
0.000137,2,0.000068,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '2.002004';
0.000001,1,0.000001,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000000,0,0.000000,our %INFO;
0.000000,0,0.000000,our %APPLIED_TO;
0.000000,0,0.000000,our %COMPOSED;
0.000000,0,0.000000,our %COMPOSITE_INFO;
0.000000,0,0.000000,our @ON_ROLE_CREATE;
0.000000,0,0.000000,
0.000000,0,0.000000,# Module state workaround totally stolen from Zefram's Module::Runtime.
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,*_WORK_AROUND_BROKEN_MODULE_STATE = "$]" < 5.009 ? sub(){1} : sub(){0};
0.000000,0,0.000000,*_WORK_AROUND_HINT_LEAKAGE
0.000000,0,0.000000,= "$]" < 5.011 && !("$]" >= 5.009004 && "$]" < 5.010001)
0.000000,1,0.000000,? sub(){1} : sub(){0};
0.000021,1,0.000021,*_CONSTANTS_DEFLATE = "$]" >= 5.012 && "$]" < 5.020 ? sub(){1} : sub(){0};
0.000021,1,0.000021,}
0.000000,0,0.000000,
0.000330,150,0.000002,sub _getglob { no strict 'refs'; \*{$_[0]} }
0.000123,28,0.000004,sub _getstash { no strict 'refs'; \%{"$_[0]::"} }
0.000000,0,0.000000,
0.000000,0,0.000000,sub croak {
0.000000,0,0.000000,require Carp;
0.000163,2,0.000082,no warnings 'redefine';
0.000000,0,0.000000,*croak = \&Carp::croak;
0.000000,0,0.000000,goto &Carp::croak;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub Role::Tiny::__GUARD__::DESTROY {
0.000000,0,0.000000,delete $INC{$_[0]->[0]} if @{$_[0]};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _load_module {
0.000001,2,0.000000,my ($module) = @_;
0.000023,2,0.000012,(my $file = "$module.pm") =~ s{::}{/}g;
0.000000,0,0.000000,return 1
0.000002,2,0.000001,if $INC{$file};
0.000000,0,0.000000,
0.000000,0,0.000000,# can't just ->can('can') because a sub-package Foo::Bar::Baz
0.000000,0,0.000000,# creates a 'Baz::' key in Foo::Bar's symbol table
0.000000,0,0.000000,return 1
0.000005,2,0.000002,if grep !/::\z/, keys %{_getstash($module)};
0.000001,2,0.000000,my $guard = _WORK_AROUND_BROKEN_MODULE_STATE
0.000000,0,0.000000,&& bless([ $file ], 'Role::Tiny::__GUARD__');
0.000000,0,0.000000,local %^H if _WORK_AROUND_HINT_LEAKAGE;
0.001353,2,0.000676,require $file;
0.000000,0,0.000000,pop @$guard if _WORK_AROUND_BROKEN_MODULE_STATE;
0.000010,2,0.000005,return 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _require_module {
0.000008,2,0.000004,_load_module($_[1]);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _all_subs {
0.000008,24,0.000000,my ($me, $package) = @_;
0.000064,24,0.000003,my $stash = _getstash($package);
0.000000,0,0.000000,return {
0.000000,0,0.000000,map {;
0.000635,2,0.000317,no strict 'refs';
0.000000,0,0.000000,# this is an ugly hack to populate the scalar slot of any globs, to
0.000000,0,0.000000,# prevent perl from converting constants back into scalar refs in the
0.000000,0,0.000000,# stash when they are used (perl 5.12 - 5.18). scalar slots on their own
0.000000,0,0.000000,# aren't detectable through pure perl, so this seems like an acceptable
0.000000,0,0.000000,# compromise.
0.000000,0,0.000000,${"${package}::${_}"} = ${"${package}::${_}"}
0.000000,0,0.000000,if _CONSTANTS_DEFLATE;
0.000152,292,0.000001,$_ => \&{"${package}::${_}"}
0.000000,0,0.000000,}
0.000749,24,0.000031,grep exists &{"${package}::${_}"},
0.000000,0,0.000000,grep !/::\z/,
0.000000,0,0.000000,keys %$stash
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000005,4,0.000001,my $target = caller;
0.000003,4,0.000001,my $me = shift;
0.000041,4,0.000010,strict->import;
0.000009,4,0.000002,warnings->import;
0.000010,4,0.000002,my $non_methods = $me->_non_methods($target);
0.000008,4,0.000002,$me->_install_subs($target, @_);
0.000012,4,0.000003,$me->make_role($target);
0.000001,4,0.000000,$me->_mark_new_non_methods($target, $non_methods)
0.000000,0,0.000000,if $non_methods && %$non_methods;
0.000015,4,0.000004,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _mark_new_non_methods {
0.000000,0,0.000000,my ($me, $target, $old_non_methods) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my $non_methods = $INFO{$target}{non_methods};
0.000000,0,0.000000,
0.000000,0,0.000000,my $subs = $me->_all_subs($target);
0.000000,0,0.000000,for my $sub (keys %$subs) {
0.000000,0,0.000000,if ( exists $old_non_methods->{$sub} && $non_methods->{$sub} != $subs->{$sub} ) {
0.000000,0,0.000000,$non_methods->{$sub} = $subs->{$sub};
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub make_role {
0.000004,4,0.000001,my ($me, $target) = @_;
0.000000,0,0.000000,
0.000003,4,0.000001,return if $me->is_role($target);
0.000014,4,0.000004,$INFO{$target}{is_role} = 1;
0.000000,0,0.000000,
0.000009,4,0.000002,my $non_methods = $me->_all_subs($target);
0.000025,4,0.000006,delete @{$non_methods}{grep /\A\(/, keys %$non_methods};
0.000002,4,0.000000,$INFO{$target}{non_methods} = $non_methods;
0.000000,0,0.000000,
0.000000,0,0.000000,# a role does itself
0.000008,4,0.000002,$APPLIED_TO{$target} = { $target => undef };
0.000012,4,0.000003,foreach my $hook (@ON_ROLE_CREATE) {
0.000009,4,0.000002,$hook->($target);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_subs {
0.000001,2,0.000000,my ($me, $target) = @_;
0.000009,2,0.000005,return if $me->is_role($target);
0.000009,2,0.000005,my %install = $me->_gen_subs($target);
0.000000,0,0.000000,*{_getglob("${target}::${_}")} = $install{$_}
0.000028,2,0.000014,for sort keys %install;
0.000006,2,0.000003,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _gen_subs {
0.000001,2,0.000000,my ($me, $target) = @_;
0.000000,0,0.000000,(
0.000000,0,0.000000,(map {;
0.000003,6,0.000000,my $type = $_;
0.000000,0,0.000000,$type => sub {
0.000000,0,0.000000,my $code = pop;
0.000000,0,0.000000,my @names = ref $_[0] eq 'ARRAY' ? @{ $_[0] } : @_;
0.000000,0,0.000000,push @{$INFO{$target}{modifiers}||=[]}, [ $type, @names, $code ];
0.000000,0,0.000000,return;
0.000012,6,0.000002,};
0.000000,0,0.000000,} qw(before after around)),
0.000000,0,0.000000,requires => sub {
0.000000,0,0.000000,push @{$INFO{$target}{requires}||=[]}, @_;
0.000000,0,0.000000,return;
0.000000,0,0.000000,},
0.000000,0,0.000000,with => sub {
0.000000,0,0.000000,$me->apply_roles_to_package($target, @_);
0.000000,0,0.000000,return;
0.000000,0,0.000000,},
0.000018,2,0.000009,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub role_application_steps {
0.000022,12,0.000002,qw(
0.000000,0,0.000000,_install_methods
0.000000,0,0.000000,_check_requires
0.000000,0,0.000000,_install_modifiers
0.000000,0,0.000000,_copy_applied_list
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _copy_applied_list {
0.000005,12,0.000000,my ($me, $to, $role) = @_;
0.000000,0,0.000000,# copy our role list into the target's
0.000046,12,0.000004,@{$APPLIED_TO{$to}||={}}{keys %{$APPLIED_TO{$role}}} = ();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub apply_roles_to_object {
0.000003,7,0.000000,my ($me, $object, @roles) = @_;
0.000003,7,0.000000,my $class = ref($object);
0.000000,0,0.000000,# on perl < 5.8.9, magic isn't copied to all ref copies. bless the parameter
0.000000,0,0.000000,# directly, so at least the variable passed to us will get any magic applied
0.000027,7,0.000004,bless($_[1], $me->create_class_with_roles($class, @roles));
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,my $role_suffix = 'A000';
0.000000,0,0.000000,sub _composite_name {
0.000002,7,0.000000,my ($me, $superclass, @roles) = @_;
0.000000,0,0.000000,
0.000010,7,0.000001,my $new_name = $superclass . '__WITH__' . join '__AND__', @roles;
0.000000,0,0.000000,
0.000006,7,0.000001,if (length($new_name) > 252) {
0.000000,0,0.000000,$new_name = $COMPOSED{abbrev}{$new_name} ||= do {
0.000000,0,0.000000,my $abbrev = substr $new_name, 0, 250 - length $role_suffix;
0.000000,0,0.000000,$abbrev =~ s/(?<!:):$//;
