# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Sub::Defer;
0.000023,2,0.000012,use strict;
0.000016,2,0.000008,use warnings;
0.000014,2,0.000007,use Exporter qw(import);
0.000012,2,0.000006,use Scalar::Util qw(weaken);
0.000043,2,0.000022,use Carp qw(croak);
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '2.006006';
0.000011,1,0.000011,$VERSION = eval $VERSION;
0.000000,0,0.000000,
0.000000,1,0.000000,our @EXPORT = qw(defer_sub undefer_sub undefer_all);
0.000001,1,0.000001,our @EXPORT_OK = qw(undefer_package defer_info);
0.000000,0,0.000000,
0.000426,125,0.000003,sub _getglob { no strict 'refs'; \*{$_[0]} }
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,my $no_subname;
0.000000,0,0.000000,*_subname
0.000000,0,0.000000,= defined &Sub::Util::set_subname ? \&Sub::Util::set_subname
0.000000,0,0.000000,: defined &Sub::Name::subname     ? \&Sub::Name::subname
0.000000,0,0.000000,: (eval { require Sub::Util } && defined &Sub::Util::set_subname) ? \&Sub::Util::set_subname
0.000000,0,0.000000,: (eval { require Sub::Name } && defined &Sub::Name::subname    ) ? \&Sub::Name::subname
0.000001,1,0.000001,: ($no_subname = 1, sub { $_[1] });
0.000003,1,0.000003,*_CAN_SUBNAME = $no_subname ? sub(){0} : sub(){1};
0.000048,1,0.000048,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _name_coderef {
0.000042,109,0.000000,shift if @_ > 2; # three args is (target, name, sub)
0.000642,109,0.000006,_CAN_SUBNAME ? _subname(@_) : $_[1];
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_coderef {
0.000263,109,0.000002,my ($glob, $code) = (_getglob($_[0]), _name_coderef(@_));
0.000023,2,0.000012,no warnings 'redefine';
0.000308,109,0.000003,if (*{$glob}{CODE}) {
0.000000,0,0.000000,*{$glob} = $code;
0.000000,0,0.000000,}
0.000000,0,0.000000,# perl will sometimes warn about mismatched prototypes coming from the
0.000000,0,0.000000,# inheritance cache, so disable them if we aren't redefining a sub
0.000000,0,0.000000,else {
0.000089,2,0.000045,no warnings 'prototype';
0.000044,109,0.000000,*{$glob} = $code;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# We are dealing with three subs.  The first is the generator sub.  It is
0.000000,0,0.000000,# provided by the user, so we cannot modify it.  When called, it generates the
0.000000,0,0.000000,# undeferred sub.  This is also created, so it also cannot be modified.  These
0.000000,0,0.000000,# are wrapped in a third sub.  The deferred sub is generated by us, and when
0.000000,0,0.000000,# called it uses the generator sub to create the undeferred sub.  If it is a
0.000000,0,0.000000,# named sub, it is installed in the symbol table, usually overwriting the
0.000000,0,0.000000,# deferred sub.  From then on, the deferred sub will goto the undeferred sub
0.000000,0,0.000000,# if it is called.
0.000000,0,0.000000,#
0.000000,0,0.000000,# In %DEFERRED we store array refs with information about these subs.  The key
0.000000,0,0.000000,# is the stringified subref.  We have a CLONE method to fix this up in the
0.000000,0,0.000000,# case of threading to deal with changing refaddrs.  The arrayrefs contain:
0.000000,0,0.000000,#
0.000000,0,0.000000,# 0. fully qualified sub name (or undef)
0.000000,0,0.000000,# 1. generator sub
0.000000,0,0.000000,# 2. options (attributes)
0.000000,0,0.000000,# 3. scalar ref to undeferred sub (inner reference weakened)
0.000000,0,0.000000,# 4. deferred sub (deferred only)
0.000000,0,0.000000,# 5. info arrayref for undeferred sub (deferred only, after undefer)
