# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Type::Tiny::Enum;
0.000000,0,0.000000,
0.000038,2,0.000019,use 5.008001;
0.000021,2,0.000011,use strict;
0.000025,2,0.000012,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,$Type::Tiny::Enum::AUTHORITY = 'cpan:TOBYINK';
0.000002,1,0.000002,$Type::Tiny::Enum::VERSION   = '2.000001';
0.000042,1,0.000042,}
0.000000,0,0.000000,
0.000001,1,0.000001,$Type::Tiny::Enum::VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _croak ($;@) { require Error::TypeTiny; goto \&Error::TypeTiny::croak }
0.000000,0,0.000000,
0.000023,3,0.000008,use Exporter::Tiny 1.004001 ();
0.000146,2,0.000073,use Type::Tiny ();
0.000008,1,0.000008,our @ISA = qw( Type::Tiny Exporter::Tiny );
0.000000,0,0.000000,
0.000000,0,0.000000,__PACKAGE__->_install_overloads(
0.000000,0,0.000000,q[@{}] => sub { shift->values },
0.000005,1,0.000005,);
0.000000,0,0.000000,
0.000000,0,0.000000,sub _exporter_fail {
0.000000,0,0.000000,my ( $class, $type_name, $values, $globals ) = @_;
0.000000,0,0.000000,my $caller = $globals->{into};
0.000000,0,0.000000,my $type = $class->new(
0.000000,0,0.000000,name      => $type_name,
0.000000,0,0.000000,values    => [ @$values ],
0.000000,0,0.000000,coercion  => 1,
0.000000,0,0.000000,);
0.000000,0,0.000000,$INC{'Type/Registry.pm'}
0.000000,0,0.000000,? 'Type::Registry'->for_class( $caller )->add_type( $type, $type_name )
0.000000,0,0.000000,: ( $Type::Registry::DELAYED{$caller}{$type_name} = $type )
0.000000,0,0.000000,unless( ref($caller) or $caller eq '-lexical' or $globals->{'lexical'} );
0.000000,0,0.000000,return map +( $_->{name} => $_->{code} ), @{ $type->exportables };
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000002,4,0.000000,my $proto = shift;
0.000000,0,0.000000,
