# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Type::Tiny::Union;
0.000000,0,0.000000,
0.000039,2,0.000019,use 5.008001;
0.000015,2,0.000008,use strict;
0.000022,2,0.000011,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,$Type::Tiny::Union::AUTHORITY = 'cpan:TOBYINK';
0.000003,1,0.000003,$Type::Tiny::Union::VERSION   = '2.000001';
0.000021,1,0.000021,}
0.000000,0,0.000000,
0.000001,1,0.000001,$Type::Tiny::Union::VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000015,2,0.000008,use Scalar::Util qw< blessed >;
0.000029,2,0.000015,use Types::TypeTiny ();
0.000000,0,0.000000,
0.000000,0,0.000000,sub _croak ($;@) { require Error::TypeTiny; goto \&Error::TypeTiny::croak }
0.000000,0,0.000000,
0.001268,2,0.000634,use Type::Tiny ();
0.000005,1,0.000005,our @ISA = 'Type::Tiny';
0.000000,0,0.000000,
0.000000,0,0.000000,__PACKAGE__->_install_overloads(
0.000017,8,0.000002,q[@{}] => sub { $_[0]{type_constraints} ||= [] } );
0.000000,0,0.000000,
0.000000,0,0.000000,sub new_by_overload {
0.000000,1,0.000000,my $proto = shift;
0.000001,1,0.000001,my %opts  = ( @_ == 1 ) ? %{ $_[0] } : @_;
0.000000,0,0.000000,
0.000001,1,0.000001,my @types = @{ $opts{type_constraints} };
0.000007,1,0.000007,if ( my @makers = map scalar( blessed($_) && $_->can( 'new_union' ) ), @types ) {
0.000000,1,0.000000,my $first_maker = shift @makers;
0.000001,1,0.000001,if ( ref $first_maker ) {
0.000000,0,0.000000,my $all_same = not grep +( !defined $_ or $_ ne $first_maker ), @makers;
0.000000,0,0.000000,if ( $all_same ) {
0.000000,0,0.000000,return ref( $types[0] )->$first_maker( %opts );
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,return $proto->new( \%opts );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000000,1,0.000000,my $proto = shift;
0.000000,0,0.000000,
0.000002,1,0.000002,my %opts = ( @_ == 1 ) ? %{ $_[0] } : @_;
0.000000,0,0.000000,_croak
0.000000,0,0.000000,"Union type constraints cannot have a parent constraint passed to the constructor"
0.000000,1,0.000000,if exists $opts{parent};
0.000000,0,0.000000,_croak
0.000000,0,0.000000,"Union type constraints cannot have a constraint coderef passed to the constructor"
