# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Type::Tiny;
0.000000,0,0.000000,
0.000030,2,0.000015,use 5.008001;
0.000015,2,0.000008,use strict;
0.000021,2,0.000011,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,if ( $] < 5.010 ) { require Devel::TypeTiny::Perl58Compat }
0.000020,1,0.000020,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,$Type::Tiny::AUTHORITY  = 'cpan:TOBYINK';
0.000000,1,0.000000,$Type::Tiny::VERSION    = '2.000001';
0.000002,1,0.000002,$Type::Tiny::XS_VERSION = '0.016';
0.000025,1,0.000025,}
0.000000,0,0.000000,
0.000001,1,0.000001,$Type::Tiny::VERSION    =~ tr/_//d;
0.000000,1,0.000000,$Type::Tiny::XS_VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000014,2,0.000007,use Scalar::Util qw( blessed );
0.000675,2,0.000338,use Types::TypeTiny ();
0.000000,0,0.000000,
0.000001,1,0.000001,our $SafePackage = sprintf 'package %s;', __PACKAGE__;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _croak ($;@) { require Error::TypeTiny; goto \&Error::TypeTiny::croak }
0.000000,0,0.000000,
0.000003,1,0.000003,sub _swap { $_[2] ? @_[ 1, 0 ] : @_[ 0, 1 ] }
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,my $support_smartmatch = 0+ !!( $] >= 5.010001 );
0.000015,1,0.000015,eval qq{ sub SUPPORT_SMARTMATCH () { !! $support_smartmatch } };
0.000000,0,0.000000,
0.000001,1,0.000001,my $fixed_precedence = 0+ !!( $] >= 5.014 );
0.000020,1,0.000020,eval qq{ sub _FIXED_PRECEDENCE () { !! $fixed_precedence } };
0.000000,0,0.000000,
0.000000,0,0.000000,my $try_xs =
0.000000,0,0.000000,exists( $ENV{PERL_TYPE_TINY_XS} ) ? !!$ENV{PERL_TYPE_TINY_XS}
0.000000,0,0.000000,: exists( $ENV{PERL_ONLY} )       ? !$ENV{PERL_ONLY}
0.000001,1,0.000001,:                                   1;
0.000000,0,0.000000,
0.000000,1,0.000000,my $use_xs = 0;
0.000000,1,0.000000,$try_xs and eval {
0.000086,1,0.000086,require Type::Tiny::XS;
0.000000,0,0.000000,'Type::Tiny::XS'->VERSION( $Type::Tiny::XS_VERSION );
