# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Variable::Magic;
0.000000,0,0.000000,
0.000052,2,0.000026,use 5.008;
0.000000,0,0.000000,
0.000038,2,0.000019,use strict;
0.000032,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Variable::Magic - Associate user-defined magic to variables from Perl.
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 VERSION
0.000000,0,0.000000,
0.000000,0,0.000000,Version 0.63
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000000,0,0.000000,our $VERSION;
0.000000,0,0.000000,BEGIN {
0.000003,1,0.000003,$VERSION = '0.63';
0.000067,1,0.000067,}
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use Variable::Magic qw<wizard cast VMG_OP_INFO_NAME>;
0.000000,0,0.000000,
0.000000,0,0.000000,{ # A variable tracer
0.000000,0,0.000000,my $wiz = wizard(
0.000000,0,0.000000,set  => sub { print "now set to ${$_[0]}!\n" },
0.000000,0,0.000000,free => sub { print "destroyed!\n" },
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,my $a = 1;
0.000000,0,0.000000,cast $a, $wiz;
0.000000,0,0.000000,$a = 2;        # "now set to 2!"
0.000000,0,0.000000,}               # "destroyed!"
0.000000,0,0.000000,
0.000000,0,0.000000,{ # A hash with a default value
0.000000,0,0.000000,my $wiz = wizard(
0.000000,0,0.000000,data     => sub { $_[1] },
0.000000,0,0.000000,fetch    => sub { $_[2] = $_[1] unless exists $_[0]->{$_[2]}; () },
0.000000,0,0.000000,store    => sub { print "key $_[2] stored in $_[-1]\n" },
0.000000,0,0.000000,copy_key => 1,
0.000000,0,0.000000,op_info  => VMG_OP_INFO_NAME,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,my %h = (_default => 0, apple => 2);
0.000000,0,0.000000,cast %h, $wiz, '_default';
0.000000,0,0.000000,print $h{banana}, "\n"; # "0" (there is no 'banana' key in %h)
0.000000,0,0.000000,$h{pear} = 1;           # "key pear stored in helem"
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,Magic is Perl's way of enhancing variables.
0.000000,0,0.000000,This mechanism lets the user add extra data to any variable and hook syntactical operations (such as access, assignment or destruction) that can be applied to it.
0.000000,0,0.000000,With this module, you can add your own magic to any variable without having to write a single line of XS.
0.000000,0,0.000000,
0.000000,0,0.000000,You'll realize that these magic variables look a lot like tied variables.
0.000000,0,0.000000,It is not surprising, as tied variables are implemented as a special kind of magic, just like any 'irregular' Perl variable : scalars like C<$!>, C<$(> or C<$^W>, the C<%ENV> and C<%SIG> hashes, the C<@ISA> array,  C<vec()> and C<substr()> lvalues, L<threads::shared> variables...
0.000000,0,0.000000,They all share the same underlying C API, and this module gives you direct access to it.
0.000000,0,0.000000,
0.000000,0,0.000000,Still, the magic made available by this module differs from tieing and overloading in several ways :
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item *
0.000000,0,0.000000,
0.000000,0,0.000000,Magic is not copied on assignment.
0.000000,0,0.000000,
0.000000,0,0.000000,You attach it to variables, not values (as for blessed references).
