# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000072,2,0.000036,use strict;
0.000040,2,0.000020,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Base role for JSON Schema vocabulary classes
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.559';
0.000000,0,0.000000,
0.000029,2,0.000015,use 5.020;
0.000026,2,0.000013,use Moo::Role;
0.000056,3,0.000019,use strictures 2;
0.000038,2,0.000019,use experimental qw(signatures postderef);
0.000028,2,0.000014,use if "$]" >= 5.022, experimental => 're_strict';
0.000019,2,0.000010,no if "$]" >= 5.031009, feature => 'indirect';
0.000019,2,0.000010,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000035,2,0.000017,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000052,3,0.000017,use Ref::Util 0.100 'is_plain_arrayref';
0.000015,2,0.000007,use JSON::Schema::Modern::Utilities qw(jsonp assert_keyword_type abort);
0.000012,2,0.000006,use Carp ();
0.000543,2,0.000271,use namespace::clean;
0.000000,0,0.000000,
0.000001,1,0.000001,our @CARP_NOT = qw(JSON::Schema::Modern);
0.000000,0,0.000000,
0.000001,1,0.000001,requires qw(vocabulary keywords);
0.000000,0,0.000000,
0.000004,3,0.000001,sub evaluation_order { 999 }  # override, if needed
0.000000,0,0.000000,
0.000000,0,0.000000,sub traverse ($self, $schema, $state) {
0.000000,0,0.000000,$state->{evaluator}->_traverse_subschema($schema, $state);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000371,2212,0.000000,sub traverse_subschema ($self, $schema, $state) {
0.000000,0,0.000000,$state->{evaluator}->_traverse_subschema($schema->{$state->{keyword}},
0.004129,553,0.000007,+{ %$state, schema_path => $state->{schema_path}.'/'.$state->{keyword} });
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000072,296,0.000000,sub traverse_array_schemas ($self, $schema, $state) {
0.000090,74,0.000001,return if not assert_keyword_type($state, $schema, 'array');
0.000055,74,0.000001,return E($state, '%s array is empty', $state->{keyword}) if not $schema->{$state->{keyword}}->@*;
0.000000,0,0.000000,
0.000016,74,0.000000,my $valid = 1;
0.000141,74,0.000002,foreach my $idx (0 .. $schema->{$state->{keyword}}->$#*) {
0.000000,0,0.000000,$valid = 0 if not $state->{evaluator}->_traverse_subschema($schema->{$state->{keyword}}[$idx],
0.001239,199,0.000006,+{ %$state, schema_path => $state->{schema_path}.'/'.$state->{keyword}.'/'.$idx });
0.000000,0,0.000000,}
0.000174,74,0.000002,return $valid;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000287,1588,0.000000,sub traverse_object_schemas ($self, $schema, $state) {
0.000624,397,0.000002,return if not assert_keyword_type($state, $schema, 'object');
0.000000,0,0.000000,
0.000112,397,0.000000,my $valid = 1;
0.002238,397,0.000006,foreach my $property (sort keys $schema->{$state->{keyword}}->%*) {
0.000000,0,0.000000,$valid = 0 if not $state->{evaluator}->_traverse_subschema($schema->{$state->{keyword}}{$property},
