# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000042,2,0.000021,use strict;
0.000051,2,0.000026,use warnings;
0.000000,0,0.000000,package YAML::PP::Lexer;
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000025,2,0.000012,use constant TRACE => $ENV{YAML_PP_TRACE} ? 1 : 0;
0.000016,2,0.000008,use constant DEBUG => ($ENV{YAML_PP_DEBUG} || $ENV{YAML_PP_TRACE}) ? 1 : 0;
0.000000,0,0.000000,
0.000545,2,0.000273,use YAML::PP::Grammar qw/ $GRAMMAR /;
0.004352,2,0.002176,use Carp qw/ croak /;
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000001,1,0.000001,my ($class, %args) = @_;
0.000000,0,0.000000,my $self = bless {
0.000000,0,0.000000,reader => $args{reader},
0.000002,1,0.000002,}, $class;
0.000001,1,0.000001,$self->init;
0.000002,1,0.000002,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub init {
0.000001,3,0.000000,my ($self) = @_;
0.000003,3,0.000001,$self->{next_tokens} = [];
0.000000,3,0.000000,$self->{next_line} = undef;
0.000001,3,0.000000,$self->{line} = 0;
0.000001,3,0.000000,$self->{offset} = 0;
0.000005,3,0.000002,$self->{flowcontext} = 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.044708,39124,0.000001,sub next_line { return $_[0]->{next_line} }
0.032035,26721,0.000001,sub set_next_line { $_[0]->{next_line} = $_[1] }
0.014302,13361,0.000001,sub reader { return $_[0]->{reader} }
0.000005,1,0.000005,sub set_reader { $_[0]->{reader} = $_[1] }
0.078711,76597,0.000001,sub next_tokens { return $_[0]->{next_tokens} }
0.163654,159492,0.000001,sub line { return $_[0]->{line} }
0.000000,0,0.000000,sub set_line { $_[0]->{line} = $_[1] }
0.061561,63240,0.000001,sub offset { return $_[0]->{offset} }
0.075612,63240,0.000001,sub set_offset { $_[0]->{offset} = $_[1] }
0.014697,13360,0.000001,sub inc_line { return $_[0]->{line}++ }
0.041210,37139,0.000001,sub context { return $_[0]->{context} }
0.000182,176,0.000001,sub set_context { $_[0]->{context} = $_[1] }
0.082437,75588,0.000001,sub flowcontext { return $_[0]->{flowcontext} }
0.001450,1090,0.000001,sub set_flowcontext { $_[0]->{flowcontext} = $_[1] }
0.014795,13924,0.000001,sub block { return $_[0]->{block} }
0.015813,13360,0.000001,sub set_block { $_[0]->{block} = $_[1] }
0.000000,0,0.000000,
0.000001,1,0.000001,my $RE_WS = '[\t ]';
0.000000,1,0.000000,my $RE_LB = '[\r\n]';
0.000045,1,0.000045,my $RE_DOC_END = qr/\A(\.\.\.)(?=$RE_WS|$)/m;
0.000021,1,0.000021,my $RE_DOC_START = qr/\A(---)(?=$RE_WS|$)/m;
