# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000023,2,0.000012,use strict;
0.000026,2,0.000013,use warnings;
0.000000,0,0.000000,package YAML::PP::Schema;
0.000013,2,0.000007,use B;
0.000614,2,0.000307,use Module::Load qw//;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000570,2,0.000285,use YAML::PP::Common qw/ YAML_PLAIN_SCALAR_STYLE /;
0.000000,0,0.000000,
0.001833,2,0.000916,use Scalar::Util qw/ blessed /;
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000001,1,0.000001,my ($class, %args) = @_;
0.000000,0,0.000000,
0.000001,1,0.000001,my $yaml_version = delete $args{yaml_version};
0.000000,1,0.000000,my $bool = delete $args{boolean};
0.000000,1,0.000000,$bool = 'perl' unless defined $bool;
0.000000,1,0.000000,if (keys %args) {
0.000000,0,0.000000,die "Unexpected arguments: " . join ', ', sort keys %args;
0.000000,0,0.000000,}
0.000000,1,0.000000,my $true;
0.000000,0,0.000000,my $false;
0.000000,0,0.000000,my @bool_class;
0.000002,1,0.000002,my @bools = split m/,/, $bool;
0.000001,1,0.000001,for my $b (@bools) {
0.000001,1,0.000001,if ($b eq '*') {
0.000000,0,0.000000,push @bool_class, ('boolean', 'JSON::PP::Boolean');
0.000000,0,0.000000,last;
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif ($b eq 'JSON::PP') {
0.000001,1,0.000001,require JSON::PP;
0.000000,1,0.000000,$true ||= \&_bool_jsonpp_true;
0.000001,1,0.000001,$false ||= \&_bool_jsonpp_false;
0.000000,1,0.000000,push @bool_class, 'JSON::PP::Boolean';
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif ($b eq 'boolean') {
0.000000,0,0.000000,require boolean;
0.000000,0,0.000000,$true ||= \&_bool_booleanpm_true;
0.000000,0,0.000000,$false ||= \&_bool_booleanpm_false;
0.000000,0,0.000000,push @bool_class, 'boolean';
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif ($b eq 'perl') {
0.000000,0,0.000000,$true ||= \&_bool_perl_true;
