# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# ABSTRACT: YAML 1.2 Processor
0.000036,2,0.000018,use strict;
0.000038,2,0.000019,use warnings;
0.000000,0,0.000000,package YAML::PP;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.001281,2,0.000640,use YAML::PP::Schema;
0.000769,2,0.000385,use YAML::PP::Schema::JSON;
0.000715,2,0.000358,use YAML::PP::Loader;
0.000337,2,0.000168,use YAML::PP::Dumper;
0.000017,2,0.000008,use Scalar::Util qw/ blessed /;
0.000015,2,0.000007,use Carp qw/ croak /;
0.000000,0,0.000000,
0.000627,2,0.000314,use base 'Exporter';
0.000001,1,0.000001,our @EXPORT_OK = qw/ Load LoadFile Dump DumpFile /;
0.000000,0,0.000000,
0.000002,1,0.000002,my %YAML_VERSIONS = ('1.1' => 1, '1.2' => 1);
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000003,1,0.000003,my ($class, %args) = @_;
0.000000,0,0.000000,
0.000001,1,0.000001,my $bool = delete $args{boolean};
0.000000,1,0.000000,$bool = 'perl' unless defined $bool;
0.000001,1,0.000001,my $schemas = delete $args{schema} || ['+'];
0.000000,1,0.000000,my $cyclic_refs = delete $args{cyclic_refs} || 'allow';
0.000001,1,0.000001,my $indent = delete $args{indent};
0.000001,1,0.000001,my $width = delete $args{width};
0.000000,1,0.000000,my $writer = delete $args{writer};
0.000001,1,0.000001,my $header = delete $args{header};
0.000000,1,0.000000,my $footer = delete $args{footer};
0.000000,1,0.000000,my $duplicate_keys = delete $args{duplicate_keys};
0.000002,1,0.000002,my $yaml_version = $class->_arg_yaml_version(delete $args{yaml_version});
0.000000,1,0.000000,my $default_yaml_version = $yaml_version->[0];
0.000001,1,0.000001,my $version_directive = delete $args{version_directive};
0.000000,1,0.000000,my $preserve = delete $args{preserve};
0.000001,1,0.000001,my $parser = delete $args{parser};
0.000000,0,0.000000,my $emitter = delete $args{emitter} || {
0.000001,1,0.000001,indent => $indent,
0.000000,0,0.000000,width => $width,
