# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package overload;
0.000000,0,0.000000,
0.000026,2,0.000013,use strict;
0.000021,2,0.000011,no strict 'refs';
0.000286,2,0.000143,no warnings 'experimental::builtin';
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '1.35';
0.000000,0,0.000000,
0.000005,1,0.000005,our %ops = (
0.000000,0,0.000000,with_assign         => "+ - * / % ** << >> x .",
0.000000,0,0.000000,assign              => "+= -= *= /= %= **= <<= >>= x= .=",
0.000000,0,0.000000,num_comparison      => "< <= >  >= == !=",
0.000000,0,0.000000,'3way_comparison'   => "<=> cmp",
0.000000,0,0.000000,str_comparison      => "lt le gt ge eq ne",
0.000000,0,0.000000,binary              => '& &= | |= ^ ^= &. &.= |. |.= ^. ^.=',
0.000000,0,0.000000,unary               => "neg ! ~ ~.",
0.000000,0,0.000000,mutators            => '++ --',
0.000000,0,0.000000,func                => "atan2 cos sin exp abs log sqrt int",
0.000000,0,0.000000,conversion          => 'bool "" 0+ qr',
0.000000,0,0.000000,iterators           => '<>',
0.000000,0,0.000000,filetest            => "-X",
0.000000,0,0.000000,dereferencing       => '${} @{} %{} &{} *{}',
0.000000,0,0.000000,matching            => '~~',
0.000000,0,0.000000,special             => 'nomethod fallback =',
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,my %ops_seen;
0.000041,1,0.000041,@ops_seen{ map split(/ /), values %ops } = ();
0.000000,0,0.000000,
0.000000,0,0.000000,sub nil {}
0.000000,0,0.000000,
0.000000,0,0.000000,sub OVERLOAD {
0.000000,14,0.000000,my $package = shift;
0.000017,14,0.000001,my %arg = @_;
0.000006,14,0.000000,my $sub;
0.000035,14,0.000002,*{$package . "::(("} = \&nil; # Make it findable via fetchmethod.
0.000065,14,0.000005,for (keys %arg) {
0.000017,43,0.000000,if ($_ eq 'fallback') {
0.000019,11,0.000002,for my $sym (*{$package . "::()"}) {
0.000004,11,0.000000,*$sym = \&nil; # Make it findable via fetchmethod.
0.000009,11,0.000001,$$sym = $arg{$_};
0.000000,0,0.000000,}
0.000000,0,0.000000,} else {
0.000000,0,0.000000,warnings::warnif("overload arg '$_' is invalid")
0.000010,32,0.000000,unless exists $ops_seen{$_};
0.000009,32,0.000000,$sub = $arg{$_};
0.000006,32,0.000000,if (not ref $sub) {
0.000002,1,0.000002,$ {$package . "::(" . $_} = $sub;
0.000000,1,0.000000,$sub = \&nil;
0.000000,0,0.000000,}
0.000000,0,0.000000,#print STDERR "Setting '$ {'package'}::\cO$_' to \\&'$sub'.\n";
0.000035,32,0.000001,*{$package . "::(" . $_} = \&{ $sub };
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000016,14,0.000001,my $package = (caller())[0];
