# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package parent;
0.000090,2,0.000045,use strict;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.238';
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000001,5,0.000000,my $class = shift;
0.000000,0,0.000000,
0.000002,5,0.000000,my $inheritor = caller(0);
0.000000,0,0.000000,
0.000004,5,0.000001,if ( @_ and $_[0] eq '-norequire' ) {
0.000000,0,0.000000,shift @_;
0.000000,0,0.000000,} else {
0.000005,5,0.000001,for ( my @filename = @_ ) {
0.000034,6,0.000006,s{::|'}{/}g;
0.000477,6,0.000080,require "$_.pm"; # dies if the file is not found
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000078,7,0.000011,no strict 'refs';
0.000025,5,0.000005,push @{"$inheritor\::ISA"}, @_; # dies if a loop is detected
0.000000,0,0.000000,};
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000002,1,0.000002,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
