# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package vars;
0.000000,0,0.000000,
0.000051,2,0.000026,use 5.006;
0.000000,0,0.000000,
0.000003,1,0.000003,our $VERSION = '1.05';
0.000000,0,0.000000,
0.000022,2,0.000011,use warnings::register;
0.000292,2,0.000146,use strict qw(vars subs);
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000008,16,0.000000,my $callpack = caller;
0.000013,16,0.000001,my (undef, @imports) = @_;
0.000002,16,0.000000,my ($sym, $ch);
0.000047,16,0.000003,foreach (@imports) {
0.000177,67,0.000003,if (($ch, $sym) = /^([\$\@\%\*\&])(.+)/) {
0.000112,67,0.000002,if ($sym =~ /\W/) {
0.000000,0,0.000000,# time for a more-detailed check-up
0.000000,0,0.000000,if ($sym =~ /^\w+[[{].*[]}]$/) {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("Can't declare individual elements of hash or array");
0.000000,0,0.000000,} elsif (warnings::enabled() and length($sym) == 1 and $sym !~ tr/a-zA-Z//) {
0.000000,0,0.000000,warnings::warn("No need to declare built-in vars");
0.000000,0,0.000000,} elsif  (($^H & strict::bits('vars'))) {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("'$_' is not a valid variable name under strict vars");
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000112,67,0.000002,$sym = "${callpack}::$sym" unless $sym =~ /::/;
0.000000,0,0.000000,*$sym =
0.000000,0,0.000000,(  $ch eq "\$" ? \$$sym
0.000000,0,0.000000,: $ch eq "\@" ? \@$sym
0.000000,0,0.000000,: $ch eq "\%" ? \%$sym
0.000000,0,0.000000,: $ch eq "\*" ? \*$sym
0.000000,0,0.000000,: $ch eq "\&" ? \&$sym 
0.000128,67,0.000002,: do {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("'$_' is not a valid variable name");
0.000000,0,0.000000,});
0.000000,0,0.000000,} else {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("'$_' is not a valid variable name");
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000003,1,0.000003,1;
0.000000,0,0.000000,__END__
